date,animal,uid,utype
2023-07-28,mlati9,260,premotor
2023-07-28,mlati9,271,premotor
2023-07-28,mlati9,290,premotor
2023-07-28,mlati9,298,premotor
2023-07-28,mlati9,313,premotor
2023-07-28,mlati9,319,premotor
2023-07-28,mlati9,235,visual
2023-07-28,mlati9,256,visual
2023-07-28,mlati9,284,visual
2023-07-28,mlati9,315,visual
2023-07-28,mlati9,325,visual
2023-07-28,mlati9,4,visuomotor
2023-07-28,mlati9,23,visuomotor
2023-07-28,mlati9,26,visuomotor
2023-07-28,mlati9,29,visuomotor
2023-07-28,mlati9,38,visuomotor
2023-07-28,mlati9,44,visuomotor
2023-07-28,mlati9,84,visuomotor
2023-07-28,mlati9,115,visuomotor
2023-07-28,mlati9,117,visuomotor
2023-07-28,mlati9,121,visuomotor
2023-07-28,mlati9,137,visuomotor
2023-07-28,mlati9,138,visuomotor
2023-07-28,mlati9,173,visuomotor
2023-07-28,mlati9,174,visuomotor
2023-07-28,mlati9,180,visuomotor
2023-07-28,mlati9,181,visuomotor
2023-07-28,mlati9,184,visuomotor
2023-07-28,mlati9,198,visuomotor
2023-07-28,mlati9,211,visuomotor
2023-07-28,mlati9,230,visuomotor
2023-07-28,mlati9,274,visuomotor
2023-07-28,mlati9,299,visuomotor
2023-07-28,mlati9,300,visuomotor
2023-07-28,mlati9,307,visuomotor
2023-07-28,mlati9,320,visuomotor
2023-07-28,mlati9,329,visuomotor
2023-07-28,mlati9,333,visuomotor
2023-07-31,mlati10,328,premotor
2023-07-31,mlati10,340,premotor
2023-07-31,mlati10,395,premotor
2023-07-31,mlati10,486,premotor
2023-07-31,mlati10,511,premotor
2023-07-31,mlati10,437,visual
2023-07-31,mlati10,461,visual
2023-07-31,mlati10,529,visual
2023-07-31,mlati10,554,visual
2023-07-31,mlati10,572,visual
2023-07-31,mlati10,8,visuomotor
2023-07-31,mlati10,125,visuomotor
2023-07-31,mlati10,191,visuomotor
2023-07-31,mlati10,202,visuomotor
2023-07-31,mlati10,230,visuomotor
2023-07-31,mlati10,233,visuomotor
2023-07-31,mlati10,248,visuomotor
2023-07-31,mlati10,249,visuomotor
2023-07-31,mlati10,251,visuomotor
2023-07-31,mlati10,252,visuomotor
2023-07-31,mlati10,255,visuomotor
2023-07-31,mlati10,257,visuomotor
2023-07-31,mlati10,262,visuomotor
2023-07-31,mlati10,274,visuomotor
2023-07-31,mlati10,277,visuomotor
2023-07-31,mlati10,281,visuomotor
2023-07-31,mlati10,283,visuomotor
2023-07-31,mlati10,284,visuomotor
2023-07-31,mlati10,294,visuomotor
2023-07-31,mlati10,298,visuomotor
2023-07-31,mlati10,301,visuomotor
2023-07-31,mlati10,330,visuomotor
2023-07-31,mlati10,369,visuomotor
2023-07-31,mlati10,389,visuomotor
2023-07-31,mlati10,421,visuomotor
2023-07-31,mlati10,487,visuomotor
2023-07-31,mlati10,522,visuomotor
2023-07-31,mlati10,527,visuomotor
2023-07-31,mlati10,578,visuomotor
2023-07-31,mlati10,585,visuomotor
2023-07-31,mlati10,589,visuomotor
2023-07-31,mlati10,590,visuomotor
2023-07-31,mlati10,591,visuomotor
2023-07-31,mlati10,594,visuomotor
2023-07-31,mlati10,596,visuomotor
2023-07-31,mlati10,660,visuomotor
2023-08-01,mlati10,259,premotor
2023-08-01,mlati10,265,premotor
2023-08-01,mlati10,277,premotor
2023-08-01,mlati10,289,premotor
2023-08-01,mlati10,312,premotor
2023-08-01,mlati10,313,premotor
2023-08-01,mlati10,322,premotor
2023-08-01,mlati10,332,premotor
2023-08-01,mlati10,334,premotor
2023-08-01,mlati10,340,premotor
2023-08-01,mlati10,345,premotor
2023-08-01,mlati10,261,visual
2023-08-01,mlati10,263,visual
2023-08-01,mlati10,287,visual
2023-08-01,mlati10,294,visual
2023-08-01,mlati10,323,visual
2023-08-01,mlati10,367,visual
2023-08-01,mlati10,3,visuomotor
2023-08-01,mlati10,6,visuomotor
2023-08-01,mlati10,7,visuomotor
2023-08-01,mlati10,11,visuomotor
2023-08-01,mlati10,36,visuomotor
2023-08-01,mlati10,38,visuomotor
2023-08-01,mlati10,49,visuomotor
2023-08-01,mlati10,50,visuomotor
2023-08-01,mlati10,58,visuomotor
2023-08-01,mlati10,60,visuomotor
2023-08-01,mlati10,61,visuomotor
2023-08-01,mlati10,66,visuomotor
2023-08-01,mlati10,70,visuomotor
2023-08-01,mlati10,71,visuomotor
2023-08-01,mlati10,72,visuomotor
2023-08-01,mlati10,81,visuomotor
2023-08-01,mlati10,83,visuomotor
2023-08-01,mlati10,85,visuomotor
2023-08-01,mlati10,86,visuomotor
2023-08-01,mlati10,93,visuomotor
2023-08-01,mlati10,95,visuomotor
2023-08-01,mlati10,99,visuomotor
2023-08-01,mlati10,100,visuomotor
2023-08-01,mlati10,106,visuomotor
2023-08-01,mlati10,107,visuomotor
2023-08-01,mlati10,110,visuomotor
2023-08-01,mlati10,120,visuomotor
2023-08-01,mlati10,121,visuomotor
2023-08-01,mlati10,126,visuomotor
2023-08-01,mlati10,130,visuomotor
2023-08-01,mlati10,133,visuomotor
2023-08-01,mlati10,157,visuomotor
2023-08-01,mlati10,159,visuomotor
2023-08-01,mlati10,161,visuomotor
2023-08-01,mlati10,175,visuomotor
2023-08-01,mlati10,177,visuomotor
2023-08-01,mlati10,180,visuomotor
2023-08-01,mlati10,182,visuomotor
2023-08-01,mlati10,187,visuomotor
2023-08-01,mlati10,192,visuomotor
2023-08-01,mlati10,194,visuomotor
2023-08-01,mlati10,196,visuomotor
2023-08-01,mlati10,257,visuomotor
2023-08-01,mlati10,288,visuomotor
2023-08-01,mlati10,290,visuomotor
2023-08-01,mlati10,315,visuomotor
2023-08-01,mlati10,333,visuomotor
2023-08-01,mlati10,412,visuomotor
